,Tweets,Writer
57,it’s encouraging to see the first projects begin from our effort to accelerate safe and effective drugs for covid19. ,BillGates
58,"i’m excited to join the  daily homeroom today to talk about the incredible ways parents, teachers, and students are coming together to keep learning while schools are closed. ",BillGates
59,"if we make the right decisions now—informed by science, data and the experience of medical professionals—we can save lives and get the country back to work. you can read more about my thoughts on covid19 on my blog. ",BillGates
60,"in the meantime, frontline health care workers are making heroic efforts to test and treat patients across the united states and the world. here in my hometown, public health seattle &amp; king county () is doing incredible work that we should all be very proud of.",BillGates
61,"all the work that rich countries are doing now to develop vaccines will save lives in developing countries too. without a vaccine, those countries are at even greater risk than wealthy ones, because it’s even harder for them to do physical distancing and shutdowns.",BillGates
62,"if everything goes well, there might be an effective vaccine in less than 18 months—the fastest a vaccine has ever been developed. that will depend on decisions we make today, including the federal government investing in building up manufacturing capacity.",BillGates
63,"work is going full speed on potential treatments, and vaccines. but people should know that it will take time to prove they are safe and effective and to start making them.",BillGates
64,"there’s been some progress on more efficient testing methods, such as the self-swab developed by the seattle coronavirus assessment network. i hope this and other innovations in testing are scaled up across the country soon. ",BillGates
65,"the federal government needs to step up on testing far more tests should be made available, and we should aggregate the results so we can quickly identify potential volunteers for clinical trials and know with confidence when it’s time to return to normal.",BillGates
66,"extreme physical distancing measures will make a big difference in the u.s., but we need a consistent nationwide approach. until the case numbers start to go down across america—which could take 10 weeks or more—no one can continue business as usual or relax the shutdown.",BillGates
67,there’s no question the united states missed the opportunity to get ahead of the novel coronavirus. but the window for making important decisions hasn’t closed. the choices we and our leaders make now will have an enormous impact. ,BillGates
68,i’m inspired by the generosity of everyone who has contributed to this effort to help keep kids learning at home. thank you to  and especially the educators who are doing amazing things for their students every day. ,BillGates
69,"one of the questions i am most often asked about the covid19 pandemic is how, and when, it will end. this article by 209 does a really good job of outlining the steps we need to take. ",BillGates
70,"this impressive new tool from _uw will help hospitals, policymakers, and the general public better understand and prepare for the covid19 response in the u.s. ",BillGates
71,"this is encouraging news, but we still have a lot of work to do. extreme physical distancing and testing are the best tools we have right now to slow the spread of novel coronavirus. ",BillGates
72,"there are few people i’ve learned more from over the years–especially about viruses–than peter piot. this q&amp;a with him is an excellent, easy-to-understand primer on covid19  ",BillGates
73,"i’ve been impressed by governors across the country including , , , , , and the many others who are guiding their communities through this challenge and providing a model for us all to follow.",BillGates
74,thanks to norway and prime minister _solberg for their ongoing leadership in global health and important investments in vaccines. ,BillGates
75,the international response will require funding for ’s development of a covid-19 vaccine and for . thanks to  and the uk for this vital commitment. ,BillGates
76,lots of people in seattle have asked how they can help those impacted by covid19 locally.  has done a great job identifying organizations who are already on the ground and deploying resources quickly to help our friends and neighbors  ,BillGates
77,"thanks for your leadership, . this is an inspiring contribution and will make a big difference for families. ",BillGates
78,"teachers are doing incredible work to keep kids learning while at home. to help get supplies to those most in need, melinda and i will double your impact, up to $1 million total, when you give to  coronavirus relief effort today and tomorrow. ",BillGates
79,i’m connecting live with  and  to talk about what our healthcare systems need to tackle the covid19 pandemic and prepare for future epidemics. ,BillGates
80,thanks  for joining me yesterday to discuss the covid19 pandemic and what we can do to prevent the next one. here's a recap of the conversation  ,BillGates
81,i’m answering your questions about the covid19 coronavirus on  in 10 minutes  ,BillGates
82,"i know many parents are looking for resources and ideas to help their kids continue learning while home.  has created daily schedules with interactive content--exercises, videos and articles--for students in every grade. ",BillGates
83,"we don’t yet have all the tools we need to fight covid-19. this is an important step toward having treatments, while we also explore vaccines and diagnostics. thanks to  and  for launching this effort with us. ",BillGates
84,"covid-19 could be a once-in-a-century pandemic, but the good news is that there are steps we can take now to slow its impact and help us respond more effectively when the next epidemic arrives. covid19 ",BillGates
85,1 in 4 children under five in south africa are stunted. the  campaign is empowering new and pregnant moms to keep their children healthy. here’s why i’m optimistic that they can make an impact  ,BillGates
86,melinda and i have met many stunted children in our travels. it’s heartbreaking and utterly preventable. dr.  is leading an incredible effort to eliminate child stunting from south africa over the next decade. ,BillGates
87,climate change is one of the toughest challenges the world has ever taken on. but i believe we can avoid a climate catastrophe if we take steps now to reduce emissions and find ways to adapt to a warmer world. here’s how we’re approaching the challenge  ,BillGates
88,"when warren buffett donated the bulk of his fortune to our foundation and joined us as a partner in its work, he urged us to “swing for the fences.” all these years later, that advice still guides how we think about our philanthropy  ",BillGates
89,"diseases that cause dementia are only diagnosed after symptoms start. to effectively treat these diseases, we need to be able to diagnose them decades earlier when they first take hold in the brain. ",BillGates
90,"we’re hopeful that our foundation’s work with networks for school improvement will help increase the number of black, latinx, and low-income students who graduate from high school and pursue postsecondary opportunities. here’s why that’s so important  ",BillGates
91,it was a magical night. i'm very happy to support your foundation's incredible work. ,BillGates
92,vaccines are a miracle. but how exactly do they work? i explain the science behind vaccines and why our foundation’s investment in them is one of the best we’ve ever made  ,BillGates
93,science is giving us the opportunity to improve lives around the world faster than ever before. today i was honored to give a speech on this subject at the  annual meeting. aaasmtg ,BillGates
94,this is an incredible story about the power of vaccines. 13 million people are alive today thanks to . here’s how  ,BillGates
95,"the only way we'll achieve net-zero carbon emissions is if we innovate, deploy, and invest across all sectors. it's encouraging to see companies working to get our planet one step closer. congratulations to all the winners of the breakthroughcanada initiative. ",BillGates
96,"when we first started our foundation, melinda and i were optimistic about the power of innovation to drive progress. twenty years later, we’re just as optimistic, and we’re still swinging for the fences  ",BillGates
97,"in our new annual letter,  and i write about why we think the risks we’ve taken in the first two decades of our foundation have set us up for future progress. ",BillGates
98," the world must work together to slow the coronavirus outbreak, protect the most vulnerable, &amp; develop tools to control this ep…",BillGates
99,"   roger’s foundation partners with local ngos in six countries in southern africa to improve early learning and basic education. it’s an impressive organization, and i encourage you to consider supporting its work ",BillGates
100,"i’m excited to team up with  again for the match in africa friday in cape town. playing alongside roger is always a thrill, and i can’t wait to face off against  and . ",BillGates
101,"as we conclude our foundation’s second decade of work in global health and education, i have never been more optimistic about the opportunity to improve life for the world’s poorest. i look forward to partnering with you on the work ahead. ",BillGates
102,"thank you, sue, for all of your contributions to our foundation. i look forward to continuing our work together on important health and education projects that will improve lives. ",BillGates
103,game on! ,BillGates
104,"if the world keeps up the fight against these neglected tropical diseases, we can improve the lives of millions of families  worldntdday ",BillGates
105,"the world has only begun to tap into all the ways ai will help people live healthier lives. i’m excited about the launch of ’s new ai for health initiative, which connects researchers and organizations with world-class ai talent and resources. ",BillGates
106, we are committing $10 million in emergency funds and corresponding support to assist frontline responders in china and…,BillGates
107,i joined  ten years (and a couple of days) ago. these are some of my favorite tweets. what’s your favorite tweet from the last ten years? ,BillGates
108, there are still too many children—many living in some of the hardest-to-reach places on the planet—who aren’t getting basic vaccines. gavi is the best tool we have to reach them.  vaccineswork,BillGates
109,"for twenty years,  has worked to ensure that every child in the world is protected from preventable diseases. the results are incredible. but their work is far from done. ",BillGates
110,"i had a fascinating conversation with vaclav smil about what bacteria, babies, empires, and economies all have in common  ",BillGates
111,it's great to see microsoft's leadership in this area. avoiding the worst effects of climate change will require innovation and investment to get us to net zero carbon emissions across all sectors of the economy. ,BillGates
112,these global health heroes have helped bangladesh become a model for other countries for how to respond to infectious disease outbreaks  ,BillGates
113,"it’s encouraging to see these results. typhoid is especially deadly for young children, and a vaccine like this has the potential to save millions of lives. ",BillGates
114,"thanks to the work of this father–daughter dynamic duo, bangladesh is moving toward a future of fewer disease outbreaks and more children reaching their fifth birthday. ",BillGates
115,solving the world’s toughest challenges—like fighting the worst impacts of climate change—requires lots of new ideas and talented people working across many fields. i’m glad to see this effort to support this important work. ,BillGates
116,progress isn’t always easy to see. these charts show some of the ways that the world is getting better. ,BillGates
117,america’s tax system will be top of mind for many in 2020. here’s what i really think. ,BillGates
118,"if your new year’s resolution is to be healthier in 2020, this book is a good place to start. ",BillGates
119,i’m glad __news is highlighting some of the amazing things happening in the world. ,BillGates
120, sir fazle was a humanitarian who helped us learn about development work building an efficient organization while never f…,BillGates
121,"vaclav smil is one of my favorite thinkers, and i couldn’t wait to get my hands on his new book about the growth of *everything*. ",BillGates
122,what’s next for our foundation? i’m particularly excited about what the next year could mean for one of the best buys in global health vaccines. ,BillGates
123,"i’ve read a lot of books about history over the years, and these truths by jill lepore is the most honest and unflinching account of the american story i’ve ever seen. it’s also one of the most beautifully written. ",BillGates
124,check out my end of year books list (plus a bonus recommendation) on . ,BillGates
125,december is a great time to take stock of everything you’ve done over the last twelve months—including all of the books you’ve read. i found these books to be really clever and engaging. i hope you them find as intriguing as i did  ,BillGates
126,"back in my early microsoft days, i routinely pulled all-nighters when we had to deliver a piece of software. i even stayed up two nights in a row on occasion–i don’t recommend that. this book taught me a lot about the importance of a better night's sleep. ",BillGates
127,this new treatment is a gamechanger for millions of people living with hiv in south africa. i’m optimistic that it could help endaids around the world. ,BillGates
128,i was deeply moved by tayari jones’s story of a married couple whose lives get torn apart by an incident of injustice. the book is so well-written that you’ll find yourself sucked into it despite the heavy subject matter. ,BillGates
129,here are two amazing statistics primary health care interventions could save 60 million lives in low-and middle-income countries and increase average life expectancy by 3.7 years by 2030  healthforall ,BillGates
130,"diane tavenner had a simple but very ambitious goal “we wanted to teach kids not just what they needed to get into college, but what they needed to live a good life.” you can read an excerpt from her wonderful new book on my blog. ",BillGates
131,i’ve read a lot of great books this year. here are some i think you’ll enjoy reading over the holidays. ,BillGates
132,i'm a big fan of  and was excited when they asked me to appear in the series finale tonight. alwaysblue ,BillGates
133,"thank you, sue, for your extraordinary leadership. melinda and i are grateful for the opportunity we’ve had to learn with and from you over the past five-and-a-half years, and we wish you and your family the best. ",BillGates
134,"i really enjoyed sitting down with  to talk about the role great cofounders and partners have played in my career, like paul allen at microsoft and  at the gates foundation. you can listen to our conversation here  ",BillGates
135,technology has made it faster and easier than ever before for people everywhere to give. i’m inspired by how many people from all over the world participate in givingtuesday.  ,BillGates
136,i was impressed to see the tremendous impact ’s apprenticeship program is having on students and their community  ,BillGates
137,"this worldaidsday, i’m excited about breakthroughs in treating and preventing hiv thanks to organizations like the . ",BillGates
138,"the world has made incredible strides toward ending the aids epidemic over the last twenty years, and i’m optimistic that more progress is on the way. explore the data  worldaidsday",BillGates
139,"at , an auto parts maker in chattanooga, tennessee, i saw how the factory is putting high school students on a path to opportunity  ",BillGates
140,dr. leandrea ware is one of the most energetic school leaders i’ve ever met. her positivity is infectious. it’s no wonder she was recently named the tennessee principal of the year  ,BillGates
141,we’re getting closer to having a blood test for alzheimer’s – which could help doctors detect and diagnose the disease earlier  ,BillGates
142,"us education may be the hardest issue our foundation works on. a recent visit to the howard school in chattanooga, tennessee reminded me why it’s also one of the most inspiring. ",BillGates
143,"you could find wild poliovirus in 125 countries in 1988. today, it exists in just two. and more than 18 million people are walking today who would otherwise have been paralyzed by polio. here’s why we aren’t done yet  ",BillGates
144,"the incredible, diverse global partnership that halted wild polio’s spread in nigeria 3 years ago makes me optimistic we’ll endpolio worldwide. ",BillGates
145,"some of our most vital partners in the fight to endpolio are philanthropies like _philan, , tahir foundation, dalio philanthropies &amp; ningxia yanbao charity foundation. their support has helped deliver vaccines and protect millions from polio paralysis. ",BillGates
146,"even a single child paralyzed by polio is one too many, but i’m optimistic that we will eradicate the disease thanks to the gpei’s persistence and creativity. ",BillGates
147,"in abu dhabi this week, the world committed $2.6b to endpolio. thank you  for your leadership in helping push this terrible disease to the brink of eradication. ",BillGates
148," .'s leadership has been a catalyst to india's progress on improving health, nutrition and ensuring safe sanitation practices for many. ",BillGates
149,"the more i’ve learned about alzheimer’s disease, the more i’ve come to admire the volunteers who participate in clinical trials, and their caregivers too. here’s a way you can help fight alzheimer’s  ",BillGates
150,better tools for collecting and sharing data will help community health workers protect families in the poorest parts of the world.  ,BillGates
151,expanding the diversity of therapies in the pipeline and more efficiently recruiting patients for clinical trials will increase our odds of discovering a breakthrough. i’m hopeful it will lead to an intervention that reduces the impact of alzheimer’s. ,BillGates
152, i’m always willing to talk about creative solutions to these problems.,BillGates
153," i greatly respect your commitment to finding ways to address wealth inequality and poverty at home. while we may disagree about some of the ways to get there, we certainly agree we need a lot of smart people committed to finding the path forward.",BillGates
154, you and the other candidates are having a really interesting conversation on how to solve some of the world’s toughest problems like eliminating global poverty and avoiding a climate disaster (though those issues don’t get talked about as much as they should).,BillGates
155,one of the many awful things about watching someone you love struggle with alzheimer’s is the feeling of helplessness. you keep thinking that there must be something more you can do. here's one option. ,BillGates
156,"we have cut the number of child deaths in half over the last 20 years. new tools like these precision maps from 
_uw will help us cut child mortality in half again by 2030.  ",BillGates
157,buildings are one of the five areas where we need a lot of innovation if we’re going to avoid a climate disaster. i wrote about one company with a particularly clever approach. ,BillGates
158,"a lot of work remains, but it’s exciting to see positive data on a drug candidate that may alter the course of alzheimer’s disease. ",BillGates
159,i always like to try out a new tv show or two when i’m on the road. what should i watch next? i set up an ask on  to collect your recommendations. ,BillGates
160,"""this is a solvable problem.""  (which i’ve helped fund through  ventures) has developed an innovative way to reduce cement's carbon footprint  ",BillGates
161,one of the best parts of my job is getting to work with some of the world’s most brilliant minds on seemingly intractable problems. here’s how we’re trying to tackle one of the defining technical challenges of our time. ,BillGates
162,this is one of the most important topics in medicine today how can we make data more readily available for researchers to look for patterns and identify new pathways for treatment. ,BillGates
163,the world has made incredible progress toward the goal to endpolio thanks to partners like  and the uae. ,BillGates
164,"melinda and i feel pressure to make every dollar and every day count, which is why we say no to a lot more opportunities than we say yes to. working with partners around the world to endpolio has been a fight worth every dollar. ",BillGates
165,tackling the world’s toughest health challenges requires the best that science has to offer. thank you to  and  for your partnership. ,BillGates
166,"congrats to the 2019 winners of the  in chemistry! few inventions have changed our lives as much as the battery, and the quest to build a better one is an important step in the fight against climate change. ",BillGates
167,"malnutrition is the single greatest health inequity in the world. in its 2019 state of the world’s children report,  takes a critical look at how we can help everyone reach their full potential by improving access to nutrition. ",BillGates
168,the world’s poorest people often rely on farming both to feed their families and to earn an income. they will be among the first to face the effects of climate change. i’m excited about innovations aimed at addressing this problem  ,BillGates
169,"congrats to esther duflo, abhijit banerjee, and michael kremer for winning this year’s  in economics. i’ve learned a lot from their pioneering work to better understand the complexities of the lives of the world’s poorest people. ",BillGates
170,"the world is facing a crisis at the dinner table, one that climate change will only worsen. i’m optimistic about the progress being made by  on a much-needed breakthrough. ",BillGates
171,the odds of dying of aids in south africa are less than half what they were at the peak. that progress wouldn’t have been possible without the  and other global health organizations. even more progress is possible if we keep up the fight  ,BillGates
172,we need more approaches to stopping alzheimers disease. i’m excited to see this news out of _de and _research about a promising starting point for the development of new therapeutic strategies. ,BillGates
173,i’m impressed by the international cooperation that made this year’s  replenishment round possible. the world has committed more than ever before. our foundation is proud to commit $700 million to over the next 3 years. stepupthefight ,BillGates
174,"i can’t think of a more fitting tribute to hans rosling and his life’s work. hans was a dear friend to melinda and me – and inspired us all with his passion, intelligence, and wit. ",BillGates
175,"i’m in lyon, france for the ’s replenishment – celebrating the most money ever raised for their life-saving work. i’m excited for the day that these diseases are in the history books. stepupthefight ",BillGates
176,"in afghanistan, one of the last countries with polio, vaccine acceptance rates have reached 98% thanks to the tireless work of female health workers. their increased involvement and passion is why polio eradication is within reach in afghanistan. ",BillGates
177,"if all countries in the world had the same concentration of researchers as wealthy ones, there would be 3x as many researchers. that’s mind-blowing. we all lose out when talent isn’t connected with opportunity.  ",BillGates
178,malnutrition is the greatest health inequity in the world. i recently spoke with my friend  about how we can use iodized salt to help kids gets the nutrients they need  ,BillGates
179,"i’m lucky to have known stephen hawking — and he was as exceptional in person as you imagined he was. as remarkable as his contributions to physics were, his biggest accomplishment was inspiring the world to believe in the magic of science and research. ",BillGates
180,here is the story of the day i knew what i wanted to do for the rest of my life and the influence of someone who’s been a critical guide along the way  ,BillGates
181," is right climate change touches everything and everyone -- and, unfairly, the poor and marginalized have the most to lose. 

if you want to understand what can be done, i highly recommend you read this issue. ",BillGates
182,melinda's work on behalf of women and girls around the world inspires me every day. she's committing $1 billion over the next ten years to increasing women's power and influence in the united states. because equalitycantwait. ,BillGates
183,"i’m delighted that _solberg has re-upped norway’s commitment to support the work of the . i welcome her sustained leadership and partnership in the fight against aids, tb, and malaria. ",BillGates
184,"most people know  as africa’s wealthiest man, but i know him as one of our foundation’s most impactful partners in improving health. melinda and i are lucky to count him as a partner (and friend!) in our work. ",BillGates
185,more and more children are living to see their 5th birthdays. that’s because the world has made incredible progress in reducing child mortality. but progress has been uneven. we have more work to do to close the gaps across countries and within them. ,BillGates
186,it's really incredible how much time and effort goes into producing a documentary like the new  series i participated in. i shared more about the experience on my blog  ,BillGates
187,ending poverty and achieving the sdgs requires a whole-of-government approach.  and  have shown leadership in developing a new anti-poverty strategy. ehsaas ,BillGates
188,".’s commitment to the  reflects spain’s leadership. at a time when more countries are turning inward, spain is showing that we can’t back away from our commitment to fighting poverty and disease. ",BillGates
189, the third annual goalkeepers19 event brings together a new generation of changemakers to accelerate progress toward t…,BillGates
190,"sanitation is a difficult issue to take on because there are no easy solutions. tonight we recognized the progress india has made on this issue through its swachh bharat program, under the leadership of . ",BillGates
191,"i had the privilege of meeting  at last year’s malaria summit in london, and i was struck by his optimism about the fight against malaria. i think you’ll be inspired by his story. ",BillGates
192,i’m excited to see world leaders and climate advocates coming together to make progress at the unga climateaction summit. working together we can prevent the worst effects of climate change. ,BillGates
193,i’ve always loved playing tennis. maybe this is why. see more deleted scenes from the  series about my life and read exclusive stories on my blog  ,BillGates
194,"i am hopeful that we can substantially alter the course of alzheimer’s disease. this world alzheimer’s day, join me in supporting alzheimer’s research by watching and sharing ’s sharetheorange video with . ",BillGates
195,the docuseries about my life and work is out today. i hope you’ll check it out on  — and then read some of the stories that didn’t make the cut on my blog. ,BillGates
196,adapting to climate change requires support from governments and businesses to ensure those most at risk have the opportunity to thrive. a new report from  lays out steps we can take to address this urgent issue. ,BillGates
197,the new docuseries that looks at my work is out tomorrow. i hope you check it out on . i can’t wait to hear what you think  ,BillGates
198,"as governments invest more in primary health care systems, overall health outcomes improve. here’s how  ",BillGates
199,melinda and i started out ahead. but hundreds of millions of people around the world have to overcome hurdle after hurdle to be successful. read about how advocates are working to even the odds for everyone  ,BillGates
0,some good and exciting news. ,HillaryClinton
1,fight back by making sure you've filled out your census form and remind your friends and family to do the same. ,HillaryClinton
2,"an accurate census count is the cornerstone of representation—who gets power and money—in our democracy. 

it is mandated in the constitution. 

these last-minute changes to its administration are an outrage. ",HillaryClinton
3, it’s amazing how free &amp; clear republicans are when they are handing trillions to their rich friends… and how exacting th…,HillaryClinton
4," it's unbelievable to hear my senate republican colleagues, most of whom are millionaires, complain that unemployed wor…",HillaryClinton
5,"just look at this line-up. 

don't miss 's takeover of my instagram today, the 55th anniversary of the voting rights act, with some very special guests. (maybe even erika's mom!) 

starts at noon et.  ",HillaryClinton
6,"hillary here—thanks so much to  for her behind-the-scenes view of goodtrouble. for more on how we can all keep up the fight for voting rights, join erika as she takes over my instagram tomorrow for the 55th anniversary of the vra!  ",HillaryClinton
7,"hillary, from the bottom of my heart thank you for amplifying my voice and giving me your platform to share goodtrouble tomorrow please join me on hillary’s ig for an incredible day of special guests, great talk, and lots of laughs! xo   ",HillaryClinton
8,tell your friends and family about our film so they too can learn about the life and legacy of an american treasure - john lewis. watch the film here  goodtrouble  ,HillaryClinton
9,"remember, we can’t just watch goodtrouble. we must go out and makegoodtrouble. it’s up to all of us to continue congressman lewis’ legacy. find out how you can take action and help protect the vote at  ",HillaryClinton
10,“now it is your turn to let freedom ring.” — john lewis goodtrouble ,HillaryClinton
11,“i still believe we shall overcome.” let’s follow john lewis’ lead and get into goodtrouble ✊ ,HillaryClinton
12,we can’t just watch goodtrouble. we must go out and makegoodtrouble. it’s up to all of us to continue congressman lewis’ legacy. find out how you can take action and help protect the vote at  ,HillaryClinton
13,"keep on walking, keep on marching. goodtrouble ",HillaryClinton
14,breaking it down! super huge shout out to  goodtrouble ,HillaryClinton
15,“let us not forget that we are involved in a serious social revolution.” goodtrouble ,HillaryClinton
16,a look at john lewis behind the scenes. goodtrouble ,HillaryClinton
17,"“you come to that point… if you don't do everything you can to change things, it will remain the same.” goodtrouble ",HillaryClinton
18,"“say something. do something. get in trouble, good trouble. necessary trouble.” goodtrouble ",HillaryClinton
19,"“we’ve come so far as a nation, as a people. but we’re not quite there yet. we have miles to go.” — representative john lewis. join us now for a live tweet event of . watch the film and tweet using goodtrouble to join the conversation!  ",HillaryClinton
20,this is  - thank you  for giving me this opportunity to take over your twitter tonite and your instagram all day tomorrow! thank you for your support of me and of  and our film  it means the world to me. x.e.,HillaryClinton
21,"hi y’all! this is  watch and live tweet john lewis good trouble tonight at 8pm et to celebrate rep. john lewis and the 55th anniversary of the voting rights act.

tweet along with me using goodtrouble.
",HillaryClinton
22, if you already miss the great john lewis—i know i do—find community and inspiration tonight by joining a watch party fo…,HillaryClinton
23,"if you already miss the great john lewis—i know i do—find community and inspiration tonight by joining a watch party for a documentary about his life’s work. 

my friend , a producer of the film, will livetweet her insights here. goodtrouble  ",HillaryClinton
24,"tomorrow. trust me, you won't want to miss this. ",HillaryClinton
25,"my 2020 election prediction... 

let's make sure trump's wishes don't come true. ",HillaryClinton
26,"my heart goes out to beirut and the lebanese people as they grieve and heal after yesterday's devastating explosion. in the aftermath, strangers helped strangers bind wounds, find families, and calm children. i'm wishing you peace and community in the days ahead.",HillaryClinton
27,"with his trademark wit and intelligence, my friend  has run down the hundreds of reasons we should tell donald trump yourefired. 

feel free to tag  today and let him know your top reason, after ordering paul’s new book.  ",HillaryClinton
28,"i fear republican sabotage of the usps, including slowing mail delivery, is a trump strategy to make voting by mail more difficult this fall. request your ballots and return them as early as you can. ",HillaryClinton
29,"""a thousand americans are dying a day.""

trump ""it is what it is."" 

",HillaryClinton
30,"a victory for safe, secure voting by mail in nevada. ",HillaryClinton
31,"aside from voting (and encouraging friends to vote), volunteering as a poll worker is one of the most powerful things you can do this fall to protect our democracy. ",HillaryClinton
32,". has a new and comprehensive accounting of the administration's failure to control the coronavirus. it is devastating.

""with impunity, trump lied. with impunity, the virus spread."" ",HillaryClinton
33,"this presidency, summed up 

while the country hit 154,000 covid-19 deaths, the jobless rate soared, and an eviction crisis loomed, trump went golfing this weekend at a course he still owns.",HillaryClinton
34,👇 ,HillaryClinton
35," ada turned 30 on july 26th but the disabilitypride, learning and work we all must collectively do continues. check o…",HillaryClinton
36," trump promised the coronavirus would disappear. instead, we have skyrocketing cases and deaths.

now he is pushing to fully…",HillaryClinton
37, vote by mail. it's presidential. ,HillaryClinton
38,"we really, really have to flip the senate.  ",HillaryClinton
39,"as we mourn 150,000 americans lost to covid-19, it's important to remember that it didn't have to get this bad and it doesn't have to remain this bad. 

leadership matters. 

choose better in november 

choose . ",HillaryClinton
40,"we can live together in our diverse, digitized, and divided society without curbing free speech. ’s daretospeak is our essential guide.  ",HillaryClinton
41," “we need everyone to understand that voter suppression is real, it is thriving, and it is the political theory of the case…",HillaryClinton
42,"college students have long been a target of republican voter suppression efforts. 

there are five clear steps colleges should take to help make sure their students can exercise their rights and duties as citizens this fall ",HillaryClinton
43, congratulations are in order –– hillaryonhulu has earned an emmy nomination for outstanding documentary or nonfiction series. @…,HillaryClinton
44,"it's nationalvotebymailday. because of covid-19, many states are making it possible to vote by mail this fall. 

check your state's rules now at  double-check your registration while you're at it. ",HillaryClinton
45,"support a great organization, watch an excellent film, fund an important cause. ",HillaryClinton
46,". has a plan to invest in children, which means investing in all of us. ",HillaryClinton
47,"amen 

“child care is not a personal issue, it’s not a women’s issue; it’s actually an economic issue. it’s an economic issue because we need to invest in children.” ",HillaryClinton
48,"we have 99 days to elect  president and retire donald trump. 

don't wait to do one of the most impactful things you can in these next 99 days 

register to vote—online or by mail—and tell your friends and family to do the same. 

",HillaryClinton
49,"for anyone who's unclear or, say, has an elected official who's unclear 's new book, “omg wtf does the constitution actually say?” explains our founding document in modern-day terms. ",HillaryClinton
50," migrant children as young as 1 are being detained in hotels by unknown  private contractors for weeks, then deported with…",HillaryClinton
51,"our future depends on addressing climate change. 

step one organizing to defeat climate deniers in congress this november. 

contribute if you can at ",HillaryClinton
52,"a new international study has ruled out more optimistic climate change scenarios. 

the earth’s average temperature will most likely increase from 4.1 to 8.1 degrees fahrenheit—the equivalent, dr. kate marvel says, of a ""five-alarm fire” for the planet. ",HillaryClinton
53,"the highlight of my week for sure. thanks so much to , _manuel, and all the  supporters who joined us! clickboom ",HillaryClinton
54,"person. woman. man. camera. tv. 

",HillaryClinton
55,"it's been lovely to see tributes like these to the great . 

the ultimate tribute will be to restore the voting rights act he marched and bled for. 

a bill to do it has been sitting on mitch mcconnell's desk for 231 days. ",HillaryClinton
56,"congratulations to , , ,  &amp;  on your  awards. 

you've already made great strides for the communities you serve, and i can't wait to see what you do next. 

onward. 🏆🏆",HillaryClinton
57, no one should have to choose between their health and casting a ballot—but that’s exactly what republicans are trying to for…,HillaryClinton
58," let me be clear if vote-by-mail is good enough for donald trump and his administration, then it's good enough for all of us.…",HillaryClinton
59,"now live! always a pleasure, bakari. ",HillaryClinton
60,some gentle spoilers for this video no one in it feels the need to brag about passing a basic cognitive function test. ,HillaryClinton
61,      we also have exciting speakers including…,HillaryClinton
62,"congrats to  on her new declaration of independence—one that includes women in the sequel ""she proclaims."" 💃
",HillaryClinton
63, so excited to moderate this conversation between  and _manuel thursday at 5pm et! lin and the secreta…,HillaryClinton
64,"now it's 26 days. 

still waiting, . ",HillaryClinton
65,"dare we call it ""the zoom where it happens""?

register now to join me and _manuel tomorrow. 

",HillaryClinton
66,"volunteer to become a poll worker. other than voting yourself, there are few more powerful things you can do to protect your fellow americans' voting rights. ",HillaryClinton
67,looking forward to seeing everyone today! ,HillaryClinton
68,"4hillary happy birthday, corinne! 🎉",HillaryClinton
69,"1 hillary clinton pointed out this about trump tonight ""he is still yet to say anything as the president of the united sta…",HillaryClinton
70," ""we need to shore up our electoral security. we need to make it possible for people to vote by mail...

the strategy for ree…",HillaryClinton
71,let her go. ,HillaryClinton
72,"“our job between now and election day is to make sure that we keep up the fight for voting rights, including making sure all ballots cast by mail are counted.” ",HillaryClinton
73," ok, let’s try something. i’m a woman who suffered multiple miscarriages running for office bec the pa legislature consistent…",HillaryClinton
74, thank you amjoy family for the last four amazing years! i hope you’ll all join me monday for the launch of thereidout. we…,HillaryClinton
75, former president  &amp; former secretary of state  are among those celebrating the life of rep.…,HillaryClinton
76,"i couldn’t be more delighted to talk with my friend _manuel this thursday about covid, his advocacy work, , the 2020 election, and of course, our favorite shared subject—american history.

join us  ",HillaryClinton
77,"penblwydd hapus to , which celebrates 100 years today. you're not looking a day over 99. ) 

here's to another century of pursuing truth, reason, and innovation on the beautiful shores of wales.",HillaryClinton
78,"john lewis was the truest kind of patriot. he believed america could be better, even live up to its highest founding ideals of equality &amp; liberty for all. he made good trouble to help us get there. now it’s up to the rest of us to carry on his work. rest in power, my friend. ",HillaryClinton
79," john lewis gave all he had to redeem america’s unmet promise of equality and justice for all, and to create a place for us…",HillaryClinton
80, hillary and i are happy to hear justice ginsburg is out of the hospital. having her on the job makes us feel better every…,HillaryClinton
81,"_mg funny, that’s exactly what i say about you. 💚",HillaryClinton
82,"it was.

see the last four years. ",HillaryClinton
83,"we've lost a giant of the civil rights movement with the passing of c.t. vivian. 

i hope the next congress honors his life and legacy, and the lives and legacies of his compatriots, by restoring the vra. ",HillaryClinton
84,"  happy birthday, opal! so proud of you, today and every day.",HillaryClinton
85,"a few days ago, 's opponent defended one of the most extreme abortion bans in the country. 

join me at a grassroots fundraiser at 5pm today to support her re-election. we need her in our corner to defend reproductive freedom and so much more.

",HillaryClinton
86,"applications are now open for the second year of the global challenges masters programme at the hrc school of law in swansea, with support for scholarships from . find out more and apply here  ",HillaryClinton
87,"thank you for your service, chasten. ",HillaryClinton
